Stage   | elapsed | total score                             | per-constraint (hard/medium only)
          phase-order                                   score=-272hard/0medium/0soft         matches=47
Stage1  | t+    8s | total=-1023354hard/0medium/-220795soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1022800hard/0medium/0soft     matches=640
          phase-order                                   score=-550hard/0medium/0soft         matches=83
Stage1  | t+    8s | total=-1023274hard/0medium/-221229soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1022720hard/0medium/0soft     matches=640
          phase-order                                   score=-550hard/0medium/0soft         matches=83
Stage1  | t+    8s | total=-1023196hard/0medium/-222236soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1022640hard/0medium/0soft     matches=640
          phase-order                                   score=-552hard/0medium/0soft         matches=84
Stage1  | t+    9s | total=-1023194hard/0medium/-222236soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1022640hard/0medium/0soft     matches=640
          phase-order                                   score=-550hard/0medium/0soft         matches=85
Stage1  | t+    9s | total=-1023125hard/0medium/-224362soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1022480hard/0medium/0soft     matches=640
          phase-order                                   score=-641hard/0medium/0soft         matches=93
Stage1  | t+    9s | total=-1023048hard/0medium/-224706soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1022400hard/0medium/0soft     matches=640
          phase-order                                   score=-644hard/0medium/0soft         matches=96
Stage1  | t+    9s | total=-1022981hard/0medium/-231388soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1022000hard/0medium/0soft     matches=640
          phase-order                                   score=-970hard/0medium/0soft         matches=124
Stage1  | t+    9s | total=-1022901hard/0medium/-232649soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1021920hard/0medium/0soft     matches=640
          phase-order                                   score=-970hard/0medium/0soft         matches=124
Stage1  | t+    9s | total=-1022821hard/0medium/-233033soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1021840hard/0medium/0soft     matches=640
          phase-order                                   score=-970hard/0medium/0soft         matches=124
Stage1  | t+    9s | total=-1022776hard/0medium/-233820soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1021760hard/0medium/0soft     matches=640
          phase-order                                   score=-1005hard/0medium/0soft        matches=129
Stage1  | t+    9s | total=-1022696hard/0medium/-235324soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1021680hard/0medium/0soft     matches=640
          phase-order                                   score=-1005hard/0medium/0soft        matches=129
Stage1  | t+    9s | total=-1022695hard/0medium/-235324soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1021680hard/0medium/0soft     matches=640
          phase-order                                   score=-1004hard/0medium/0soft        matches=129
Stage1  | t+    9s | total=-1022295hard/0medium/-236538soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1021280hard/0medium/0soft     matches=640
          phase-order                                   score=-1004hard/0medium/0soft        matches=129
Stage1  | t+    9s | total=-1022292hard/0medium/-236538soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1021280hard/0medium/0soft     matches=640
          phase-order                                   score=-1001hard/0medium/0soft        matches=129
Stage1  | t+    9s | total=-1022222hard/0medium/-236941soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1021200hard/0medium/0soft     matches=640
          phase-order                                   score=-1011hard/0medium/0soft        matches=130
Stage1  | t+    9s | total=-1022142hard/0medium/-237285soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1021120hard/0medium/0soft     matches=640
          phase-order                                   score=-1011hard/0medium/0soft        matches=130
Stage1  | t+    9s | total=-1021294hard/0medium/-237501soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1020160hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-1011hard/0medium/0soft        matches=130
Stage1  | t+    9s | total=-1021269hard/0medium/-237501soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1020160hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-986hard/0medium/0soft         matches=131
Stage1  | t+    9s | total=-1021189hard/0medium/-238055soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1020080hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-986hard/0medium/0soft         matches=131
Stage1  | t+    9s | total=-1021109hard/0medium/-238223soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1020000hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-986hard/0medium/0soft         matches=131
Stage1  | t+    9s | total=-1021029hard/0medium/-239476soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1019920hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-986hard/0medium/0soft         matches=131
Stage1  | t+    9s | total=-1020983hard/0medium/-239476soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1019920hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-940hard/0medium/0soft         matches=129
Stage1  | t+    9s | total=-1020903hard/0medium/-239773soft        
          block-end-within-window                       score=-11hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1019840hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-940hard/0medium/0soft         matches=129
Stage1  | t+    9s | total=-1020470hard/0medium/-241573soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1019240hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-1063hard/0medium/0soft        matches=141
Stage1  | t+    9s | total=-1020401hard/0medium/-241786soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1019160hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-1074hard/0medium/0soft        matches=147
Stage1  | t+    9s | total=-1020397hard/0medium/-241977soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1019160hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-1070hard/0medium/0soft        matches=147
Stage1  | t+    9s | total=-1020317hard/0medium/-243774soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1019080hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-1070hard/0medium/0soft        matches=147
Stage1  | t+    9s | total=-1020237hard/0medium/-244611soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1019000hard/0medium/0soft     matches=639
          block-overfill-at-most-one-day                score=-112hard/0medium/0soft         matches=1
          phase-order                                   score=-1070hard/0medium/0soft        matches=147
Stage1  | t+    9s | total=-1019788hard/0medium/-244889soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1018440hard/0medium/0soft     matches=638
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1117hard/0medium/0soft        matches=157
Stage1  | t+    9s | total=-1019750hard/0medium/-244973soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1018400hard/0medium/0soft     matches=638
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1119hard/0medium/0soft        matches=159
Stage1  | t+    9s | total=-1019736hard/0medium/-244973soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1018400hard/0medium/0soft     matches=638
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1105hard/0medium/0soft        matches=159
Stage1  | t+    9s | total=-1019734hard/0medium/-244973soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1018400hard/0medium/0soft     matches=638
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1103hard/0medium/0soft        matches=160
Stage1  | t+    9s | total=-1017734hard/0medium/-246820soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1016400hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1103hard/0medium/0soft        matches=160
Stage1  | t+   10s | total=-1017673hard/0medium/-247704soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1016320hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1122hard/0medium/0soft        matches=163
Stage1  | t+   10s | total=-1017593hard/0medium/-248078soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1016240hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1122hard/0medium/0soft        matches=163
Stage1  | t+   10s | total=-1017524hard/0medium/-250136soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1016160hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1133hard/0medium/0soft        matches=162
Stage1  | t+   10s | total=-1017516hard/0medium/-250296soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1016160hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1125hard/0medium/0soft        matches=161
Stage1  | t+   10s | total=-1017208hard/0medium/-250328soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1015840hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1137hard/0medium/0soft        matches=163
Stage1  | t+   10s | total=-1017195hard/0medium/-250645soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1015760hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1204hard/0medium/0soft        matches=171
Stage1  | t+   10s | total=-1017193hard/0medium/-250658soft        
          block-end-within-window                       score=-55hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1015760hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1202hard/0medium/0soft        matches=170
Stage1  | t+   10s | total=-1017191hard/0medium/-250658soft        
          block-end-within-window                       score=-49hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1015760hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1206hard/0medium/0soft        matches=173
Stage1  | t+   10s | total=-1017092hard/0medium/-251151soft        
          block-end-within-window                       score=-49hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1015660hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1207hard/0medium/0soft        matches=173
Stage1  | t+   10s | total=-1017081hard/0medium/-251552soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1015660hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          phase-order                                   score=-1198hard/0medium/0soft        matches=176
Stage1  | t+   10s | total=-1017027hard/0medium/-251870soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1015580hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1219hard/0medium/0soft        matches=178
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1017020hard/0medium/-252131soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1015580hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1212hard/0medium/0soft        matches=177
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1016540hard/0medium/-252179soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1015100hard/0medium/0soft     matches=637
          block-overfill-at-most-one-day                score=-176hard/0medium/0soft         matches=2
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1212hard/0medium/0soft        matches=176
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015694hard/0medium/-253111soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1014120hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1250hard/0medium/0soft        matches=179
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015614hard/0medium/-253855soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1014040hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1250hard/0medium/0soft        matches=179
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015534hard/0medium/-254121soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1013960hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1250hard/0medium/0soft        matches=179
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015514hard/0medium/-254203soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1013940hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1250hard/0medium/0soft        matches=179
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015500hard/0medium/-254205soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1013920hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1256hard/0medium/0soft        matches=181
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015420hard/0medium/-256656soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1013840hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1256hard/0medium/0soft        matches=181
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015340hard/0medium/-258317soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1013760hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1256hard/0medium/0soft        matches=181
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015289hard/0medium/-258356soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1013700hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1265hard/0medium/0soft        matches=187
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015287hard/0medium/-258392soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1013700hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1263hard/0medium/0soft        matches=189
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015274hard/0medium/-260701soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1013460hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1490hard/0medium/0soft        matches=208
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015254hard/0medium/-260783soft        
          block-end-within-window                       score=-47hard/0medium/0soft          matches=2
          block-no-underfill                            score=-1013440hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1490hard/0medium/0soft        matches=208
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015165hard/0medium/-260992soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1013240hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1596hard/0medium/0soft        matches=208
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   10s | total=-1015164hard/0medium/-260992soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1013240hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1595hard/0medium/0soft        matches=207
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1015163hard/0medium/-260992soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1013240hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1594hard/0medium/0soft        matches=207
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1015123hard/0medium/-264791soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1013180hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1614hard/0medium/0soft        matches=211
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1015048hard/0medium/-266135soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1013100hard/0medium/0soft     matches=636
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1619hard/0medium/0soft        matches=213
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1014168hard/0medium/-266231soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1012220hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1619hard/0medium/0soft        matches=213
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1014165hard/0medium/-266231soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1012220hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1616hard/0medium/0soft        matches=213
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1014161hard/0medium/-266231soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1012220hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1612hard/0medium/0soft        matches=213
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1014084hard/0medium/-267475soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1012120hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1635hard/0medium/0soft        matches=215
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1014076hard/0medium/-267475soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1012120hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1627hard/0medium/0soft        matches=213
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1014056hard/0medium/-267475soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1012120hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1607hard/0medium/0soft        matches=213
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1014056hard/0medium/-266068soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1012120hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1607hard/0medium/0soft        matches=213
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1013977hard/0medium/-266532soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1012040hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1608hard/0medium/0soft        matches=216
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1013973hard/0medium/-266532soft        
          block-end-within-window                       score=-52hard/0medium/0soft          matches=3
          block-no-underfill                            score=-1012040hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-272hard/0medium/0soft         matches=3
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
          phase-order                                   score=-1604hard/0medium/0soft        matches=215
          seat-daily-cap-12h                            score=-4hard/0medium/0soft           matches=1
Stage1  | t+   11s | total=-1013961hard/0medium/-273511soft        
          block-end-within-window                       score=-58hard/0medium/0soft          matches=4
          block-no-underfill                            score=-1011600hard/0medium/0soft     matches=635
          block-overfill-at-most-one-day                score=-416hard/0medium/0soft         matches=4
          emp-one-task-per-day                          score=-1hard/0medium/0soft           matches=1
