task_code,date,employee,hours
S1-P3-D,2025-09-08,AH,8
S1-P3-D,2025-09-08,AT,10
S1-P3-D,2025-09-09,CB,4
S1-P3-D,2025-09-09,CD,8
S1-P3-D,2025-09-10,AK,4
S1-P3-D,2025-09-10,BD,10
S1-P3-D,2025-09-11,AK,12
S1-P3-D,2025-09-11,BD,8
S1-P4-A,2025-09-12,AC,10
S1-P4-A,2025-09-12,BM,4
S1-P4-A,2025-09-12,BQ,10
S1-P4-A,2025-09-12,CQ,10
S1-P4-A,2025-09-16,AU,12
S1-P4-A,2025-09-16,BE,4
S1-P4-A,2025-09-20,AF,4
S1-P4-A,2025-09-20,CQ,10
S1-P4-B,2025-09-12,BR,4
S1-P4-B,2025-09-12,CJ,4
S1-P4-B,2025-09-12,CV,8
S1-P4-B,2025-09-14,AN,8
S1-P4-B,2025-09-14,CD,10
S1-P4-B,2025-09-14,CR,12
S1-P4-B,2025-09-18,BN,8
S1-P4-B,2025-09-18,CD,10
S1-P4-C,2025-09-12,AL,4
S1-P4-C,2025-09-12,BK,8
S1-P4-C,2025-09-12,BO,4
S1-P4-C,2025-09-12,BS,12
S1-P4-C,2025-09-12,CW,12
S1-P4-C,2025-09-13,BC,4
S1-P4-C,2025-09-13,BK,12
S1-P4-C,2025-09-13,BS,8
S1-P4-D,2025-09-13,BV,4
S1-P4-D,2025-09-13,CB,12
S1-P4-D,2025-09-13,CP,12
S1-P4-D,2025-09-14,AK,12
S1-P4-D,2025-09-14,AY,4
S1-P4-D,2025-09-14,CB,8
S1-P4-D,2025-09-16,BD,8
S1-P4-D,2025-09-16,BL,4
S2-P1-A,2025-09-04,BA,4
S2-P1-A,2025-09-04,BM,10
S2-P1-A,2025-09-04,BY,12
S2-P1-A,2025-09-04,CG,10
S2-P1-A,2025-09-05,BQ,4
S2-P1-A,2025-09-05,CC,12
S2-P1-A,2025-09-07,CQ,4
S2-P1-A,2025-09-07,CU,8
S2-P1-B,2025-09-04,AA,4
S2-P1-B,2025-09-04,BV,12
S2-P1-B,2025-09-05,BN,12
S2-P1-B,2025-09-05,CH,4
S2-P1-B,2025-09-06,AG,12
S2-P1-B,2025-09-06,CN,12
S2-P1-B,2025-09-07,AX,4
S2-P1-B,2025-09-07,CN,4
S2-P1-C,2025-09-04,AO,8
S2-P1-C,2025-09-04,AZ,12
S2-P1-C,2025-09-04,BC,8
S2-P1-C,2025-09-04,DA,8
S2-P1-C,2025-09-05,AO,4
S2-P1-C,2025-09-05,DA,12
S2-P1-C,2025-09-06,BG,8
S2-P1-C,2025-09-06,BO,4
S2-P1-D,2025-09-04,CL,4
S2-P1-D,2025-09-04,CP,12
S2-P1-D,2025-09-04,CX,4
S2-P1-D,2025-09-05,AB,8
S2-P1-D,2025-09-05,CT,10
S2-P1-D,2025-09-05,DB,8
S2-P1-D,2025-09-07,BL,8
S2-P1-D,2025-09-07,CL,10
S2-P2-A,2025-09-08,BQ,4
S2-P2-A,2025-09-08,CM,4
S2-P2-A,2025-09-09,BE,4
S2-P2-A,2025-09-09,CG,4
S2-P2-A,2025-09-10,AQ,4
S2-P2-A,2025-09-10,BQ,4
S2-P2-A,2025-09-11,BM,4
S2-P2-A,2025-09-11,BQ,4
S2-P2-B,2025-09-08,AN,12
S2-P2-B,2025-09-08,BN,12
S2-P2-B,2025-09-08,CD,10
S2-P2-B,2025-09-08,DB,10
S2-P2-B,2025-09-10,BF,4
S2-P2-B,2025-09-10,BJ,12
S2-P2-B,2025-09-10,BR,4
S2-P2-C,2025-09-08,AV,12
S2-P2-C,2025-09-08,BK,4
S2-P2-C,2025-09-08,CA,8
S2-P2-C,2025-09-09,BC,12
S2-P2-C,2025-09-09,BS,12
S2-P2-C,2025-09-10,BE,8
S2-P2-C,2025-09-10,CA,4
S2-P2-C,2025-09-10,CS,4
S2-P2-D,2025-09-08,AB,12
S2-P2-D,2025-09-08,BP,8
S2-P2-D,2025-09-08,BT,12
S2-P2-D,2025-09-08,CT,12
S2-P2-D,2025-09-09,AW,8
S2-P2-D,2025-09-09,DB,4
S2-P2-D,2025-09-11,BL,4
S2-P2-D,2025-09-11,CX,4
S2-P3-A,2025-09-13,AF,8
S2-P3-A,2025-09-13,CI,10
S2-P3-A,2025-09-14,BM,12
S2-P3-A,2025-09-14,CQ,12
S2-P3-A,2025-09-15,AC,4
S2-P3-A,2025-09-15,BA,10
S2-P3-A,2025-09-16,CU,4
S2-P3-A,2025-09-16,CY,4
S2-P3-B,2025-09-12,AN,4
S2-P3-B,2025-09-12,AP,12
S2-P3-B,2025-09-12,AQ,8
S2-P3-B,2025-09-12,CH,4
S2-P3-B,2025-09-13,AG,10
S2-P3-B,2025-09-13,BJ,10
S2-P3-B,2025-09-17,AN,8
S2-P3-B,2025-09-17,CH,8
S2-P3-C,2025-09-13,AL,8
S2-P3-C,2025-09-13,CK,10
S2-P3-C,2025-09-13,CM,10
S2-P3-C,2025-09-14,AL,10
S2-P3-C,2025-09-14,AS,8
S2-P3-C,2025-09-14,CS,4
S2-P3-C,2025-09-16,BU,10
S2-P3-C,2025-09-16,CS,4
S2-P3-D,2025-09-12,BD,12
S2-P3-D,2025-09-12,BV,12
S2-P3-D,2025-09-12,CF,8
S2-P3-D,2025-09-13,BF,4
S2-P3-D,2025-09-13,CF,4
S2-P3-D,2025-09-13,CT,8
S2-P3-D,2025-09-14,AT,8
S2-P3-D,2025-09-14,CF,8
S2-P4-A,2025-09-18,AU,10
S2-P4-A,2025-09-18,CC,4
S2-P4-A,2025-09-19,BM,8
S2-P4-A,2025-09-19,CC,4
S2-P4-A,2025-09-21,AS,8
S2-P4-A,2025-09-21,CC,12
S2-P4-A,2025-09-22,BA,10
S2-P4-A,2025-09-22,BE,8
S2-P4-B,2025-09-18,AT,4
S2-P4-B,2025-09-18,CJ,8
S2-P4-B,2025-09-18,CR,8
S2-P4-B,2025-09-18,CV,10
S2-P4-B,2025-09-19,CH,8
S2-P4-B,2025-09-19,CN,12
S2-P4-B,2025-09-20,AN,4
S2-P4-B,2025-09-20,BJ,10
S2-P4-C,2025-09-18,AL,10
S2-P4-C,2025-09-18,AS,8
S2-P4-C,2025-09-18,BC,8
S2-P4-C,2025-09-18,CK,8
S2-P4-C,2025-09-19,BC,4
S2-P4-C,2025-09-19,CS,10
S2-P4-C,2025-09-24,AE,4
S2-P4-C,2025-09-24,AZ,12
S2-P4-D,2025-09-18,AP,4
S2-P4-D,2025-09-18,BT,4
S2-P4-D,2025-09-18,BV,4
S2-P4-D,2025-09-18,CT,4
S2-P4-D,2025-09-19,BP,4
S2-P4-D,2025-09-19,CF,4
S2-P4-D,2025-09-20,AT,4
S2-P4-D,2025-09-20,CT,4
S3-P1-A,2025-09-08,AM,12
S3-P1-A,2025-09-08,BA,12
S3-P1-A,2025-09-08,CY,8
S3-P1-A,2025-09-09,AM,8
S3-P1-A,2025-09-09,AU,12
S3-P1-A,2025-09-10,AA,4
S3-P1-A,2025-09-10,BM,8
S3-P1-B,2025-09-08,BF,10
S3-P1-B,2025-09-08,BJ,4
S3-P1-B,2025-09-08,BZ,10
S3-P1-B,2025-09-09,BV,12
S3-P1-B,2025-09-09,BZ,12
S3-P1-B,2025-09-09,CZ,8
S3-P1-B,2025-09-10,AX,4
S3-P1-B,2025-09-10,CH,4
S3-P1-C,2025-09-08,AI,12
S3-P1-C,2025-09-08,AK,10
S3-P1-C,2025-09-08,AZ,4
S3-P1-C,2025-09-08,BW,4
S3-P1-C,2025-09-09,AV,10
S3-P1-C,2025-09-09,CM,8
S3-P1-C,2025-09-10,AI,4
S3-P1-C,2025-09-10,BG,12
S3-P1-D,2025-09-08,AW,8
S3-P1-D,2025-09-08,BL,12
S3-P1-D,2025-09-08,CL,12
S3-P1-D,2025-09-09,AY,4
S3-P1-D,2025-09-09,BD,4
S3-P1-D,2025-09-09,CP,10
S3-P1-D,2025-09-10,CT,10
S3-P1-D,2025-09-10,CX,4
S3-P2-A,2025-09-11,AI,4
S3-P2-A,2025-09-11,BA,4
S3-P2-A,2025-09-11,BY,8
S3-P2-A,2025-09-13,CC,4
S3-P2-A,2025-09-13,CG,4
S3-P2-A,2025-09-14,AU,4
S3-P2-A,2025-09-14,BA,4
S3-P2-B,2025-09-12,AD,8
S3-P2-B,2025-09-12,BJ,10
S3-P2-B,2025-09-12,BN,4
S3-P2-B,2025-09-12,CR,10
S3-P2-B,2025-09-13,CD,12
S3-P2-B,2025-09-13,CH,8
S3-P2-B,2025-09-14,AG,8
S3-P2-B,2025-09-14,BB,4
S3-P2-C,2025-09-11,AC,12
S3-P2-C,2025-09-11,BC,4
S3-P2-C,2025-09-11,CW,4
S3-P2-C,2025-09-11,CY,4
S3-P2-C,2025-09-11,DA,12
S3-P2-C,2025-09-13,AV,8
S3-P2-C,2025-09-13,AZ,12
S3-P2-C,2025-09-13,BC,8
S3-P2-D,2025-09-11,AB,10
S3-P2-D,2025-09-11,AR,8
S3-P2-D,2025-09-11,BX,4
S3-P2-D,2025-09-11,CP,4
S3-P2-D,2025-09-12,AR,8
S3-P2-D,2025-09-12,BP,10
S3-P2-D,2025-09-14,AR,12
S3-P2-D,2025-09-14,CZ,8
S3-P3-A,2025-09-16,AC,12
S3-P3-A,2025-09-16,AI,8
S3-P3-A,2025-09-18,BM,10
S3-P3-A,2025-09-18,CQ,12
S3-P3-A,2025-09-19,CI,10
S3-P3-A,2025-09-19,CY,4
S3-P3-A,2025-09-20,BW,4
S3-P3-A,2025-09-20,BY,4
S3-P3-B,2025-09-15,BJ,4
S3-P3-B,2025-09-15,CD,10
S3-P3-B,2025-09-17,AB,12
S3-P3-B,2025-09-17,BB,10
S3-P3-B,2025-09-19,BX,4
S3-P3-B,2025-09-19,BZ,10
S3-P3-B,2025-09-20,BX,10
S3-P3-B,2025-09-20,CR,4
S3-P3-C,2025-09-16,AF,8
S3-P3-C,2025-09-16,AR,4
S3-P3-C,2025-09-16,BK,8
S3-P3-C,2025-09-16,CM,12
S3-P3-C,2025-09-19,BS,12
S3-P3-C,2025-09-19,CA,4
S3-P3-C,2025-09-20,AL,4
S3-P3-C,2025-09-20,AR,12
S3-P3-D,2025-09-15,AP,8
S3-P3-D,2025-09-15,BD,12
S3-P3-D,2025-09-15,BP,8
S3-P3-D,2025-09-16,AT,8
S3-P3-D,2025-09-16,CF,10
S3-P3-D,2025-09-16,CT,10
S3-P3-D,2025-09-19,AP,4
S3-P3-D,2025-09-19,CT,4
S3-P4-A,2025-09-21,BI,8
S3-P4-A,2025-09-21,BM,8
S3-P4-A,2025-09-21,CQ,10
S3-P4-A,2025-09-21,CU,10
S3-P4-A,2025-09-22,AC,10
S3-P4-A,2025-09-22,CI,10
S3-P4-A,2025-09-24,BM,4
S3-P4-A,2025-09-24,CC,4
S3-P4-B,2025-09-21,BZ,10
S3-P4-B,2025-09-21,CD,8
S3-P4-B,2025-09-21,CN,10
S3-P4-B,2025-09-21,CV,10
S3-P4-B,2025-09-22,AX,4
S3-P4-B,2025-09-22,BF,8
S3-P4-B,2025-09-24,BB,10
S3-P4-B,2025-09-24,BX,4
S3-P4-C,2025-09-21,AL,10
S3-P4-C,2025-09-21,AZ,8
S3-P4-C,2025-09-21,BU,12
S3-P4-C,2025-09-21,CK,10
S3-P4-C,2025-09-22,BC,4
S3-P4-C,2025-09-22,CY,8
S3-P4-C,2025-09-23,AZ,4
S3-P4-C,2025-09-23,BS,8
S3-P4-D,2025-09-21,BT,4
S3-P4-D,2025-09-21,BV,4
S3-P4-D,2025-09-21,CX,4
S3-P4-D,2025-09-21,CZ,4
S3-P4-D,2025-09-22,AY,4
S3-P4-D,2025-09-22,CZ,4
S3-P4-D,2025-09-27,AT,4
S3-P4-D,2025-09-27,AY,4
S4-P1-A,2025-09-11,BI,12
S4-P1-A,2025-09-11,CC,10
S4-P1-A,2025-09-11,CG,10
S4-P1-A,2025-09-12,AM,4
S4-P1-A,2025-09-12,BY,4
S4-P1-B,2025-09-11,AG,12
S4-P1-B,2025-09-11,AU,4
S4-P1-B,2025-09-11,CR,8
S4-P1-B,2025-09-12,AJ,12
S4-P1-B,2025-09-12,CD,4
S4-P1-C,2025-09-11,AE,12
S4-P1-C,2025-09-11,BK,8
S4-P1-C,2025-09-11,CA,4
S4-P1-C,2025-09-12,BG,12
S4-P1-C,2025-09-12,CO,4
S4-P1-D,2025-09-11,BP,4
S4-P1-D,2025-09-11,BT,4
S4-P1-D,2025-09-11,CL,12
S4-P1-D,2025-09-12,AB,12
S4-P1-D,2025-09-12,CL,8
S4-P2-A,2025-09-13,AC,4
S4-P2-A,2025-09-13,BM,4
S4-P2-A,2025-09-14,BY,4
S4-P2-A,2025-09-14,CU,4
S4-P2-A,2025-09-15,AQ,4
S4-P2-A,2025-09-15,CU,4
S4-P2-B,2025-09-13,AX,8
S4-P2-B,2025-09-13,BR,4
S4-P2-B,2025-09-15,CJ,12
S4-P2-B,2025-09-15,DB,10
S4-P2-B,2025-09-16,BR,10
S4-P2-B,2025-09-16,CD,4
S4-P2-C,2025-09-13,AI,12
S4-P2-C,2025-09-13,CE,8
S4-P2-C,2025-09-15,CK,8
S4-P2-C,2025-09-15,CO,12
S4-P2-C,2025-09-16,BW,4
S4-P2-C,2025-09-16,CA,4
S4-P2-D,2025-09-13,AB,8
S4-P2-D,2025-09-13,DB,10
S4-P2-D,2025-09-14,AW,10
S4-P2-D,2025-09-14,CT,4
S4-P2-D,2025-09-15,AH,12
S4-P2-D,2025-09-15,AR,4
S4-P3-A,2025-09-17,BM,12
S4-P3-A,2025-09-17,CI,8
S4-P3-A,2025-09-18,BE,4
S4-P3-A,2025-09-18,CI,10
S4-P3-A,2025-09-19,AA,4
S4-P3-A,2025-09-19,BA,10
S4-P3-A,2025-09-21,BQ,4
S4-P3-A,2025-09-21,CO,12
S4-P3-B,2025-09-18,AP,4
S4-P3-B,2025-09-18,AQ,12
S4-P3-B,2025-09-18,BZ,12
S4-P3-B,2025-09-18,CH,12
S4-P3-B,2025-09-19,AG,4
S4-P3-B,2025-09-19,BJ,12
S4-P3-B,2025-09-20,AP,4
S4-P3-B,2025-09-20,AX,4
S4-P3-C,2025-09-18,AO,8
S4-P3-C,2025-09-18,AV,8
S4-P3-C,2025-09-18,BS,12
S4-P3-C,2025-09-18,CS,10
S4-P3-C,2025-09-20,CA,4
S4-P3-C,2025-09-20,CS,10
S4-P3-C,2025-09-21,CE,4
S4-P3-C,2025-09-21,CS,8
S4-P3-D,2025-09-17,AP,8
S4-P3-D,2025-09-17,AT,8
S4-P3-D,2025-09-17,AY,12
S4-P3-D,2025-09-17,CN,10
S4-P3-D,2025-09-18,CL,8
S4-P3-D,2025-09-18,CX,4
S4-P3-D,2025-09-19,AK,4
S4-P3-D,2025-09-19,AT,10
S4-P4-A,2025-09-22,AU,8
S4-P4-A,2025-09-22,BM,10
S4-P4-A,2025-09-22,BY,4
S4-P4-A,2025-09-22,DA,10
S4-P4-A,2025-09-23,BY,8
S4-P4-A,2025-09-23,CM,10
S4-P4-A,2025-09-28,BI,10
S4-P4-A,2025-09-28,CU,4
S4-P4-B,2025-09-22,AG,12
S4-P4-B,2025-09-22,CR,10
S4-P4-B,2025-09-22,DB,12
S4-P4-B,2025-09-23,BR,10
S4-P4-B,2025-09-23,BX,4
S4-P4-B,2025-09-23,DB,4
S4-P4-B,2025-09-24,AT,8
S4-P4-B,2025-09-24,BJ,4
S4-P4-C,2025-09-22,AS,10
S4-P4-C,2025-09-22,BG,8
S4-P4-C,2025-09-22,BO,12
S4-P4-C,2025-09-22,CW,8
S4-P4-C,2025-09-23,AL,8
S4-P4-C,2025-09-23,BK,4
S4-P4-C,2025-09-25,CW,10
S4-P4-C,2025-09-25,CY,4
S4-P4-D,2025-09-23,BV,4
S4-P4-D,2025-09-23,CX,4
S4-P4-D,2025-09-25,AH,4
S4-P4-D,2025-09-25,CP,4
S4-P4-D,2025-09-26,AT,4
S4-P4-D,2025-09-26,CF,4
S4-P4-D,2025-09-28,AK,4
S4-P4-D,2025-09-28,BP,4
